Investors,InvestorLink,Latest,Seed,Growth,Legal,GRC,RiskTech,FinTech,WealthTech,Participation
Bridge One,https://www.google.com/search?q=Bridge+One+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,10,0,10,0,0,0,236250000
Bridge One,https://www.crunchbase.com/organization/bridge-one,Jul 2021,0,10,0,10,0,0,0,236250000
Tobias Lütke,https://www.google.com/search?q=Tobias+Lütke+AND+Crunchbase+OR+LinkedIn,Jul 2021,4,9,0,4,0,9,0,5096169275
Betatron Venture Group,https://www.google.com/search?q=Betatron+Venture+Group+AND+Crunchbase+OR+LinkedIn,Jul 2021,13,0,0,9,0,4,0,108563752
Marker Hill Capital,https://www.google.com/search?q=Marker+Hill+Capital+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,5,0,0,5,0,0,673000000
Ben Orthlieb,https://www.google.com/search?q=Ben+Orthlieb+AND+Crunchbase+OR+LinkedIn,Jul 2021,29,12,0,1,0,20,0,24736935000
Murat Tora Tora,https://www.google.com/search?q=Murat+Tora+Tora+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,3,0,0,3,0,0,1657800
Globant,https://www.google.com/search?q=Globant+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,10,0,10,0,0,0,236250000
White Oak Global Advisors,https://www.google.com/search?q=White+Oak+Global+Advisors+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,12,0,5,7,0,0,7286700000
RiverNorth Capital Management,https://www.crunchbase.com/organization/rivernorth-capital-management,Jul 2021,4,0,0,0,0,0,4,60400000
Adam Marchick,https://www.google.com/search?q=Adam+Marchick+AND+Crunchbase+OR+LinkedIn,Jul 2021,3,0,0,0,0,3,0,14400000
Gaurang Shetty,https://www.google.com/search?q=Gaurang+Shetty+AND+Crunchbase+OR+LinkedIn,Jul 2021,3,0,0,0,0,3,0,9000000
Simon Nixon,https://www.google.com/search?q=Simon+Nixon+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,40,0,0,0,40,0,20633639600
Aligned Equity,https://www.crunchbase.com/organization/aligned-equity,Jul 2021,2,0,0,2,0,0,0,6037110
Daniel Kennedy,https://www.crunchbase.com/person/daniel-kennedy-c3af,Jul 2021,0,6,0,0,0,6,0,750000000
Arpegio,https://www.google.com/search?q=Arpegio+AND+Crunchbase+OR+LinkedIn,Jul 2021,6,0,0,0,0,0,6,2030100000
ArFintech,https://www.crunchbase.com/organization/arfintech,Jul 2021,0,10,0,10,0,0,0,236250000
Oyster Ventures,https://www.google.com/search?q=Oyster+Ventures+AND+Crunchbase+OR+LinkedIn,Jul 2021,11,41,0,0,0,22,30,7451800000
Steadfast Venture Capital,https://www.google.com/search?q=Steadfast+Venture+Capital+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,8,0,0,0,0,0,2673760000
Nicholas Hinrichsen,https://www.google.com/search?q=Nicholas+Hinrichsen+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,3,0,0,0,3,0,36300000
Namik Kural,https://www.google.com/search?q=Namik+Kural+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,5,0,0,5,0,0,835500
Standard.Tv,https://www.google.com/search?q=Standard.Tv+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,4,0,0,0,4,0,462400000
Integra Software Services,https://www.google.com/search?q=Integra+Software+Services+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,2,0,0,0,2,0,30000000
WTI International Inc.,https://www.google.com/search?q=WTI+International+Inc.+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,8,0,0,0,8,0,2860000000
Development Bank of Wales,https://www.google.com/search?q=Development+Bank+of+Wales+AND+Crunchbase+OR+LinkedIn,Jul 2021,3,8,0,1,10,0,0,189891933
Fawkes Ventures,https://www.google.com/search?q=Fawkes+Ventures+AND+Crunchbase+OR+LinkedIn,Jul 2021,3,0,0,0,3,0,0,38019750
Next Level Ventures,https://www.google.com/search?q=Next+Level+Ventures+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,13,0,0,0,13,0,452400000
Chalfen Ventures,https://www.google.com/search?q=Chalfen+Ventures+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,3,0,3,0,0,0,258000000
Eric Sager,https://www.google.com/search?q=Eric+Sager+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,3,0,0,0,3,0,36300000
Berliner Volksbank Ventures,https://www.crunchbase.com/organization/berliner-volksbank-ventures,Jul 2021,0,16,0,0,0,16,0,13321833872
